Year,Month,NumVisitorsAv,annualGrowthRateAv,quarter,yearQuarter
2016년,6월,41.776666666666664,0.285055323305821,1분기,2016년 1분기
2016년,9월,43.56956666666667,0.27540040392516674,2분기,2016년 2분기
2016년,12월,57.32696666666667,0.20882190638798317,3분기,2016년 3분기
2017년,3월,53.3956,0.5746309473343488,4분기,2017년 4분기
2017년,6월,61.1269,0.47712926855855037,1분기,2017년 1분기
2017년,9월,60.01416666666666,0.3776091617902317,2분기,2017년 2분기
2017년,12월,73.03463333333333,0.27966772185237954,3분기,2017년 3분기
2018년,3월,63.269133333333336,0.18832038001562731,4분기,2018년 4분기
2018년,6월,60.26853333333333,-0.011298565896851263,1분기,2018년 1분기
2018년,9월,54.63740000000001,-0.09130550337852779,2분기,2018년 2분기
2018년,12월,72.55843333333333,-0.005302671184535199,3분기,2018년 3분기
2019년,3월,58.52013333333334,-0.07486722150695807,4분기,2019년 4분기
