channel_name,subscriber (10th),cum_view (10th),video,search,category
빠니보틀 Pani Bottle,190,42516,301,4894,국내/해외/여행
곽튜브,167,37643,311,1798,국내/해외/여행
Rirang OnAir,131,21006,269,5344,국내/해외/여행
코이티비 KOITV,115,99444,1878,10874,국내/해외/여행
EBS 컬렉션 - 라이프스타일,94,63142,3698,5578,국내/해외/여행
Sophie Kim _하은,89,2969,129,4930,국내/해외/여행
진정부부,86,36335,352,230,국내/해외/여행
끼룩푸드 seagull food,82,57380,695,647,국내/해외/여행
원지의하루,78,14445,351,3142,국내/해외/여행
브레이너 제이의 숙면 여행,68,13431,200,3916,국내/해외/여행
