,Year,month,KTO_total,KTO_perc,SouthAfrica_total,SouthAfrica_perc,Mauritius_total,Mauritius_perc,eSwatini_total,eSwatini_perc,Seychelles_total,Seychelles_perc,Zimbabwe_total,Zimbabwe_perc,Uganda_total,Uganda_perc,SierraLeone_total,SierraLeone_perc
2,2004년,1월,793478,,1582,,,,,,4,,,,,,,
3,,2월,670447,,1214,,,,,,-,,,,,,,
4,,3월,587629,,883,,,,,,-,,,,,,,
5,,4월,642413,,791,,,,,,-,,,,,,,
6,,5월,680185,,784,,,,,,2,,,,,,,
7,,6월,712260,,908,,,,,,-,,,,,,,
8,,7월,897234,,1490,,,,,,1,,,,,,,
9,,8월,930573,,1716,,,,,,-,,,,,,,
10,,9월,682244,,987,,,,,,-,,,,,,,
11,,10월,757538,,938,,,,,,-,,,,,,,
12,,11월,745887,,951,,,,,,1,,,,,,,
13,,12월,725697,,1068,,,,,,,,,,,,,
14,2005년,1월,897406,0.1309777964858509,1885,0.19152970922882417,,,106,,6,0.5,,,,,,
15,,2월,745998,0.1126875055000619,1442,0.18780889621087304,,,42,,4,,,,,,,
16,,3월,707058,0.2032387782086997,911,0.03171007927519809,,,52,,3,,,,,,,
17,,4월,762096,0.18630226972368244,882,0.11504424778761058,,,59,,-,,,,,,,
18,,5월,802497,0.17982166616435236,841,0.058,,,92,,4,0.058,,,,,,
19,,6월,865693,0.2154171229607166,1120,0.23348017621145375,,,38,,2,,,,,,,
20,,7월,1020757,0.13767088630167826,1702,0.14228187919463087,,,65,,-,,,,,,,
21,,8월,1070289,0.15013975260404075,1817,0.058857808857808856,,,61,,2,,,,,,,
22,,9월,785549,0.1514194335164545,996,0.00911854103343465,,,59,,4,,,,,,,
23,,10월,848088,0.11953195747276044,1153,0.22921108742004265,,,51,,1,,,,,,,
24,,11월,784031,0.051139113565459644,1012,0.06414300736067298,,,116,,4,3,,,,,,
25,,12월,790681,0.0895470148009431,1054,-0.013108614232209739,,,68,,-,,,,,,,
26,2006년,1월,985287,0.09792780525202639,1870,-0.007957559681697613,,,55,-0.4811320754716981,5,-0.16666666666666666,,,,,,
27,,2월,944596,0.2662178718977799,1808,0.2538141470180305,,,66,0.5714285714285714,6,0.5,,,,,,
28,,3월,823918,0.16527639882442458,1165,0.278814489571899,,,41,-0.21153846153846154,4,0.3333333333333333,,,,,,
29,,4월,855083,0.12201481178224266,1060,0.2018140589569161,,,53,-0.1016949152542373,1,,,,,,,
30,,5월,906482,0.12957680838682262,936,0.11296076099881094,,,80,-0.13043478260869565,-,,,,,,,
31,,6월,915942,0.05804482651471134,1073,-0.04196428571428571,,,79,1.0789473684210527,-,,,,,,,
32,,7월,1098740,0.07639722284539807,1691,-0.006462984723854289,,,64,-0.015384615384615385,13,,,,,,,
33,,8월,1159874,0.0837016917860503,1621,-0.10787011557512383,,,132,1.1639344262295082,-,,,,,,,
34,,9월,931946,0.1863626584719731,1151,0.15562248995983935,,,75,0.2711864406779661,3,-0.25,,,,,,
35,,10월,984649,0.16102220524285216,1478,0.2818733738074588,,,55,0.0784313725490196,3,2,,,,,,
36,,11월,987488,0.25950121870181153,1410,0.3932806324110672,,,72,-0.3793103448275862,12,2,,,,,,
37,,12월,1015874,0.28480891788218005,1535,0.45635673624288425,,,88,0.29411764705882354,3,,,,,,,
38,2007년,1월,1281530,0.30066670929384026,3063,0.6379679144385026,,,115,1.0909090909090908,13,1.6,,,,,,
39,,2월,982591,0.04022354530402415,1353,-0.2516592920353983,,,139,1.106060606060606,3,-0.5,,,,,,
