channel_name,subscriber (10th),cum_view (10th),video,search,category
백종원 PAIK JONG WON,593,98763,560,0,음식/요리/레시피
빠니보틀 Pani Bottle,190,42581,301,4904,국내/해외/여행
곽튜브,167,37746,311,1817,국내/해외/여행
코이티비 KOITV,115,99519,1882,10887,국내/해외/여행
토모토모TomoTomo,103,23200,206,0,미분류
여행가 제이 [Jay world traveler],60,14500,380,0,국내/해외/여행
