channel_name,subscriber (10th),cum_view (10th),video,search,category
빠니보틀 Pani Bottle,190,42581,301,4904,국내/해외/여행
곽튜브,167,37746,311,1817,국내/해외/여행
Rirang OnAir,131,21038,270,5352,국내/해외/여행
코이티비 KOITV,115,99519,1882,10887,국내/해외/여행
EBS 컬렉션 - 라이프스타일,94,63221,3700,5579,국내/해외/여행
Sophie Kim _하은,89,2969,129,4934,국내/해외/여행
진정부부,86,36418,353,238,국내/해외/여행
끼룩푸드 seagull food,83,58230,698,659,국내/해외/여행
원지의하루,78,14472,351,3147,국내/해외/여행
브레이너 제이의 숙면 여행,68,13483,201,3929,국내/해외/여행
